Code,Description,Distance,Elevation,SnowFreeDate,ElevationGain,Privy,MaxNum
069G,Summerland Park Group,1.5,8600,5/19,80.0,No,1.0
087,Sunrise,3.5,9600,6/11,800.0,No,1.0
086,Sunset,3,9550,6/15,750.0,No,1.0
051,Tahosa,1.7,9040,5/24,540.0,No,1.0
055,Thunder Lake,6.8,10570,7/05,2070.0,Yes,1.0
055G,Thunder Lake Group,6.8,10570,7/05,2070.0,Yes,1.0
055IS,Thunder Lake Stock,6.8,10570,7/05,2070.0,Yes,1.0
098,Timber Creek,3,10400,6/27,1390.0,No,1.0
094G,Timberline Group,7.4,10570,7/09,1770.0,Yes,1.0
091GS,Tonahutu Group/Stock (WF),6.6,10160,7/05,1360.0,Yes,1.0
090,Tonahutu Meadows,6.2,10050,7/03,1250.0,No,2.0
070,Twinberry,3,8680,5/25,140.0,No,1.0
019,Upper Chipmunk,4.2,10640,6/30,2100.0,Yes,2.0
067,Upper East Inlet,6.6,10200,7/04,1810.0,No,1.0
034,Upper Mill Creek,1.7,9200,5/22,800.0,Yes,1.0
096,Upper Onahu,2.8,9600,6/13,780.0,No,1.0
057,Upper Ouzel Creek,5.6,10600,7/06,2100.0,No,1.0
037,Upper Wind River,1.6,8940,5/14,620.0,Yes,1.0
025IS,Ute Meadow Llama,2.7,9450,6/10,990.0,No,1.0
102,Valley View,3.2,10260,6/22,1260.0,No,1.0
035,Wind River Bluff,1,8800,5/15,480.0,Yes,1.0
