,040,026,052IS,005G,043G,047,085G,072,038,044-1,044-2,044-3,001,111,046,063,114G,032,021,116,109,109GS,107,061,028,028G,058,058GS,039,042,022,089,064G,082B,073,115,115GS,004,006,093,093IS,045,048,099,081,081G,119IS,068,112,024,012,011GS,062,088,015,033,120,041,118,079,074GS,078,054,030,027,097,095,056,036,060,014,080,050,077,076,013,092,100,049,049G,003,053,110,065,101,066,031,084,ACC1,029,029A,010,009,069,069G,087,086,051,055,055G,055IS,098,094G,091GS,090,070,019,067,034,096,057,037,025IS,102,035
2016-06-17,0,0,1,1,0,1,0,0,0,4,1,4,2,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,2,1,1,1,1,1,3,0,0,2,1,0,3,2,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,1,1,0,2,0,1,0,2,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,2,0,2,0,0,0,0,0,1,1,0
2016-06-18,0,0,1,1,1,0,1,0,0,4,1,4,2,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,2,1,1,1,1,1,2,0,0,0,0,0,2,1,1,1,0,2,0,0,0,1,0,0,0,0,0,2,0,2,0,0,1,1,0,0,1,0,1,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,1,1,0,0,0,0,1,1,0
2016-06-19,0,0,1,1,1,1,1,1,0,4,1,3,2,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,2,2,0,1,1,1,1,1,0,0,1,1,1,1,1,2,0,1,0,1,1,4,1,1,2,2,0,3,1,1,0,1,2,1,2,0,1,1,0,0,0,1,1,1,1,1,1,1,1,3,1,2,0,1,0,2,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,2,1,2,0,0,1,0,0,1,1,0
2016-06-20,0,0,1,0,0,1,0,0,1,2,0,3,2,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,3,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,3,1,1,2,2,0,3,2,1,1,0,2,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,1,2,0,2,0,1,0,2,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,2,0,2,1,0,0,0,1,1,1,0
2016-06-21,0,0,1,1,1,0,0,2,0,2,1,4,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,4,2,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,4,0,1,2,2,0,3,2,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,2,0,0,1,0,0,0,1,1,1,1
2016-06-22,0,1,1,0,1,1,1,0,0,3,1,4,2,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,5,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,3,1,1,2,1,0,3,2,1,1,0,2,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,2,0,2,0,1,1,2,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,2,1,1,0,0,0,0,1,1,0,0
2016-06-23,0,0,1,1,0,1,1,1,0,3,1,4,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,5,0,2,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,3,1,1,2,2,0,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2,0,2,0,1,0,2,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,2,0,1,0,0,0,0,1,1,0,1
2016-06-24,0,1,1,1,1,0,0,1,0,3,1,3,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,3,1,0,2,0,0,3,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1
2016-06-25,0,0,0,1,0,0,0,1,0,1,1,2,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,3,1,0,2,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0
2016-06-26,0,0,1,0,0,1,0,1,0,2,1,4,2,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,3,2,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,4,1,0,2,2,0,3,2,1,1,1,0,2,0,0,0,1,0,1,0,0,1,0,2,0,0,0,1,3,1,2,0,1,0,2,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1
2016-06-27,0,0,1,0,0,1,1,0,0,2,1,4,2,1,1,0,0,0,1,1,1,1,1,0,0,0,2,0,0,2,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,4,1,0,2,2,0,3,2,1,1,1,1,1,0,0,0,1,0,0,0,0,2,1,0,1,0,0,1,3,0,2,0,1,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1
2016-06-28,0,0,1,0,0,1,0,2,0,4,0,3,2,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,4,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,4,0,1,2,2,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,4,0,2,1,1,0,2,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1
2016-06-29,0,0,1,0,0,1,0,1,0,4,0,1,2,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,4,2,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,4,0,0,2,2,0,3,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,1,4,0,2,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1
2016-06-30,0,0,1,0,0,1,0,0,1,4,1,0,2,1,1,1,0,1,1,1,1,1,1,1,0,0,2,0,0,3,2,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,0,1,0,2,0,3,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,4,0,2,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,0,1,1,1,1
2016-07-01,0,0,0,0,0,1,0,1,0,2,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,2,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,3,1,0,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,2,0,1,0,0,0,0,1,1,1,0
2016-07-02,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-07-03,0,0,1,1,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,2,1,0,3,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2016-07-04,0,0,1,0,0,1,0,2,1,3,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,2,1,0,5,2,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,2,0,3,1,1,1,0,1,2,0,1,1,1,0,1,0,1,1,2,0,0,1,0,1,4,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1
2016-07-05,0,1,1,0,0,1,0,2,0,3,0,4,2,0,1,0,0,0,0,1,0,0,1,1,0,0,2,0,0,5,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,4,0,1,2,1,0,3,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,3,0,2,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1
2016-07-06,0,0,1,0,0,1,0,0,0,4,1,4,2,0,1,0,1,0,1,1,1,0,1,1,0,0,2,0,0,4,1,2,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,4,1,1,2,0,0,3,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,3,0,2,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0
2016-07-07,0,0,1,1,0,1,0,1,0,2,0,4,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,4,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,2,1,0,2,2,0,2,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,1,3,0,2,0,0,0,2,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0
2016-07-08,0,0,1,1,1,1,0,0,0,3,0,3,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,4,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,2,1,0,0,2,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0
2016-07-09,0,0,1,1,0,1,1,0,0,2,0,2,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,3,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,0,0,1,0,0,1,1,0
2016-07-10,0,0,1,1,1,1,1,2,0,2,1,3,2,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,4,1,0,0,2,0,2,2,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,2,0,0,0,1,4,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,2,0,0,1,0,0,1,0,0
2016-07-11,0,0,1,1,0,1,1,0,0,3,0,3,2,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,1,0,0,2,0,2,0,0,0,1,0,0,0,2,1,0,0,1,0,1,0,1,0,0,0,0,1,4,1,2,0,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,1,0,1,1,1,1
2016-07-12,0,0,1,0,0,1,1,0,0,1,0,2,2,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,2,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,4,0,2,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,2,0,1,1,0,1,1,1,1
2016-07-13,0,0,1,1,0,1,0,2,0,0,0,3,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,2,0,0,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0
2016-07-14,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,2,0,1,0,2,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1
2016-07-15,0,0,1,1,0,0,0,0,0,2,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
2016-07-16,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1
2016-07-17,0,1,1,1,0,0,0,1,0,2,0,3,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,2,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,2,1,0,1,2,1,1,2,0,0,0,2,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,2,1,2,0,1,0,2,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1
2016-07-18,0,1,1,0,0,1,1,0,0,1,0,2,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,2,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,3,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
2016-07-19,0,0,1,1,0,1,0,0,0,3,0,1,2,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,1,0,0,1,0,1
2016-07-20,0,0,0,1,0,1,0,0,0,3,1,3,2,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,2,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,1,1,0,0
2016-07-21,0,1,0,0,0,1,0,0,0,1,1,4,2,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,2,2,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,1
2016-07-22,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,3,0,1,0,2,0,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
2016-07-23,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,3,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
2016-07-24,0,1,1,1,0,1,1,0,0,0,1,3,2,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,3,2,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,3,1,0,1,1,0,1,2,0,0,0,2,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,4,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1
2016-07-25,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,2,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
2016-07-26,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,2,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
2016-07-27,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
2016-07-28,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,2,1,0,0,2,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,0,0,1,4,0,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,1,0,0,1,1,0
2016-07-29,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,2,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,2,1,0,0,2,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0
2016-07-30,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1
